Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3
10/13/2024,3:48:28,22.9,66,22.7,68,23,23,22.5
10/13/2024,3:53:28,22.9,65,22.7,67,23,22.5,22.5
10/13/2024,3:58:28,22.9,65,22.7,66,23,22.5,22.5
10/13/2024,4:08:28,22.9,65,22.7,68,23,22.5,22.5
10/13/2024,4:13:28,22.9,64,22.7,68,23,22.5,22.5
10/13/2024,4:18:28,22.9,65,22.6,68,23,22.5,22.5
10/13/2024,4:23:28,22.8,65,22.6,67,23,22.5,22.5
10/13/2024,4:28:28,22.8,66,22.5,68,23,22.5,22.5
10/13/2024,4:38:28,22.7,66,22.5,68,22.5,22.5,22.5
10/13/2024,4:43:28,22.7,66,22.4,68,23,22.5,22.5
10/13/2024,4:48:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,4:53:28,22.6,65,22.4,68,22.5,22.5,22.5
10/13/2024,4:58:28,22.6,65,22.4,68,22.5,22.5,22.5
10/13/2024,5:08:28,22.6,66,22.4,68,22.5,22.5,22
10/13/2024,5:13:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,5:18:28,22.6,65,22.5,68,22.5,22.5,22.5
10/13/2024,5:23:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,5:28:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,5:38:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,5:43:28,22.6,65,22.3,68,22.5,22.5,22
10/13/2024,5:48:28,22.5,66,22.3,69,22.5,22.5,22
10/13/2024,5:53:28,22.5,66,22.3,68,22.5,22.5,22
10/13/2024,5:58:28,22.5,66,22.3,68,22.5,22.5,22
10/13/2024,6:08:28,22.5,65,22.3,68,22.5,22.5,22.5
10/13/2024,6:13:28,22.6,65,22.3,68,23,22.5,22.5
10/13/2024,6:18:28,22.5,65,22.2,68,22.5,22.5,22.5
10/13/2024,6:23:28,22.5,65,22.3,68,23,22.5,22.5
10/13/2024,6:28:28,22.6,65,22.3,68,22.5,22.5,22.5
10/13/2024,6:38:28,22.6,64,22.3,68,22.5,22.5,22.5
10/13/2024,6:43:28,22.6,65,22.3,69,22.5,22.5,22
10/13/2024,6:48:28,22.6,65,22.3,69,22.5,22.5,22
10/13/2024,6:53:28,22.7,65,22.3,68,22.5,22.5,22.5
10/13/2024,6:58:28,22.6,65,22.3,69,22.5,22.5,22.5
10/13/2024,7:08:28,22.7,65,22.4,69,22.5,22.5,22
10/13/2024,7:13:28,22.7,65,22.4,68,22.5,22.5,22.5
10/13/2024,7:18:28,22.7,65,22.4,68,22.5,22.5,22
10/13/2024,7:23:28,22.6,66,22.4,69,22.5,22.5,22
10/13/2024,7:28:28,22.7,66,22.4,69,22.5,22.5,22
10/13/2024,7:38:28,22.6,66,22.4,68,22.5,22.5,22.5
10/13/2024,7:43:28,22.7,66,22.3,69,22.5,22.5,22
10/13/2024,7:48:28,22.7,66,22.3,69,22.5,22.5,22.5
10/13/2024,7:53:28,22.7,65,22.4,68,22.5,22.5,22
10/13/2024,7:58:28,22.7,66,22.3,69,22.5,22.5,22
10/13/2024,8:08:28,22.8,65,22.4,68,22.5,22.5,22.5
10/13/2024,8:13:28,22.8,65,22.4,68,23,22.5,22.5
10/13/2024,8:18:28,22.9,65,22.5,68,22.5,22.5,22.5
10/13/2024,8:23:28,23,65,22.7,68,22.5,22.5,22.5
10/13/2024,8:28:28,22.9,65,22.7,68,23,22.5,22.5
10/13/2024,8:38:28,22.7,63,22.5,66,22.5,22.5,22.5
10/13/2024,8:43:28,22.7,63,22.5,65,22.5,22.5,22.5
10/13/2024,8:48:28,22.6,62,22.5,65,22.5,22.5,22.5
10/13/2024,8:53:28,22.7,62,22.5,65,22.5,22.5,22.5
10/13/2024,8:58:28,22.6,62,22.4,65,22.5,22.5,22.5
10/13/2024,9:08:28,22.6,62,22.4,64,22.5,22.5,22.5
10/13/2024,9:13:28,22.7,62,22.5,64,22.5,22.5,22.5
10/13/2024,9:18:28,22.8,63,22.6,65,22.5,22.5,22.5
10/13/2024,9:23:28,22.8,62,22.6,64,22.5,22.5,22
10/13/2024,9:28:28,22.8,62,22.6,64,22.5,22.5,22.5
10/13/2024,9:38:47,23,62,22.8,63,22.5,22.5,22.5
10/13/2024,9:43:47,23,61,22.8,63,22.5,22.5,22
10/13/2024,9:48:47,23,61,22.8,63,22.5,22.5,22.5
10/13/2024,9:53:47,23,60,22.9,62,22.5,22.5,22
10/13/2024,9:58:47,23,60,22.8,61,22.5,22.5,22
10/13/2024,10:08:47,23.1,61,22.9,63,22.5,22.5,22
10/13/2024,10:13:47,23.1,60,22.9,62,22.5,22.5,22.5
10/13/2024,10:18:47,23.1,61,22.9,62,22.5,22.5,22
