Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,fan_state
2024/10/20,21:34:57,24.3,71.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,21:40:57,24.2,71.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,21:46:57,24.2,71.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,21:52:57,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,21:58:57,24.2,72.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,22:4:57,24.2,72.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,22:10:57,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,22:16:57,24.2,72.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,22:22:57,24.2,71.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,22:28:57,24.1,72.0,23.9,75.0,24.5,24.5,23.0,1
2024/10/20,22:34:57,24.1,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,22:40:58,24.1,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,22:46:58,24.1,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,22:52:58,24.1,73.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,22:58:58,24.1,73.0,23.8,75.0,24.5,24.0,23.0,1
2024/10/20,23:4:58,24.1,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,23:10:58,24.2,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/20,23:16:58,24.3,72.0,24.1,75.0,24.5,24.0,23.0,1
2024/10/20,23:22:58,24.3,72.0,24.1,75.0,24.5,24.0,23.0,1
2024/10/20,23:28:58,24.3,72.0,24.0,74.0,24.5,24.0,23.0,1
2024/10/20,23:34:58,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,23:40:58,24.2,72.0,24.0,75.0,24.5,24.5,23.0,1
2024/10/20,23:46:58,24.3,72.0,24.1,75.0,24.5,24.5,23.0,1
2024/10/20,23:52:58,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,23:58:58,24.2,72.0,23.9,75.0,24.5,24.5,23.0,1
2024/10/21,0:4:58,24.1,72.0,23.9,75.0,24.5,24.0,23.0,1
2024/10/21,0:10:58,24.1,72.0,23.9,74.0,24.5,24.0,23.0,1
2024/10/21,0:16:58,24.1,71.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/21,0:22:58,24.1,72.0,23.8,74.0,24.5,24.0,23.0,1
2024/10/21,0:28:58,24.0,71.0,23.8,74.0,24.5,24.0,23.0,1
2024/10/21,0:34:58,23.9,72.0,23.7,74.0,24.5,24.0,23.0,1
2024/10/21,0:40:58,23.9,71.0,23.7,74.0,24.5,24.0,23.0,1
2024/10/21,0:46:58,23.9,71.0,23.7,74.0,24.5,24.0,23.0,1
2024/10/21,0:52:58,23.9,71.0,23.6,74.0,24.5,24.0,23.0,1
2024/10/21,0:58:58,23.8,71.0,23.5,74.0,24.5,24.0,23.0,1
2024/10/21,1:4:58,23.8,71.0,23.5,75.0,24.5,24.0,23.0,1
2024/10/21,7:31:58,23.0,70.0,22.8,73.0,23.5,23.5,22.5,0
2024/10/21,9:3:8,23.3,71.0,23.1,73.0,23.5,23.5,22.5,0
2024/10/21,9:8:8,23.4,71.0,23.2,73.0,23.5,23.5,22.5,0
2024/10/21,9:13:8,23.4,70.0,23.2,73.0,23.5,23.5,22.5,0
2024/10/21,9:18:8,23.5,70.0,23.2,73.0,23.5,23.5,22.5,0
2024/10/21,9:28:8,23.5,70.0,23.3,73.0,23.5,23.5,22.5,0
2024/10/21,9:33:8,23.5,70.0,23.3,73.0,24.0,23.5,22.5,0
2024/10/21,9:38:8,23.5,70.0,23.3,73.0,24.0,23.5,22.5,0
2024/10/21,9:43:8,23.5,70.0,23.3,73.0,24.0,23.5,22.5,0
2024/10/21,9:48:8,23.5,70.0,23.3,73.0,24.0,23.5,22.5,0
2024/10/21,9:58:8,23.6,70.0,23.4,73.0,24.0,23.5,22.5,1
2024/10/21,10:3:7,23.7,70.0,23.4,73.0,24.0,23.5,22.5,0
2024/10/21,10:9:8,23.7,70.0,23.4,73.0,24.0,23.5,22.5,1
2024/10/21,10:15:8,23.6,70.0,23.4,73.0,24.0,23.5,22.0,1
2024/10/21,10:20:7,23.6,70.0,23.4,73.0,24.0,23.5,22.5,0
2024/10/21,10:26:8,23.6,70.0,23.4,73.0,24.0,23.5,22.5,1
2024/10/21,10:32:8,23.7,70.0,23.5,72.0,24.0,23.5,22.5,1
2024/10/21,10:38:8,23.8,70.0,23.7,72.0,24.0,24.0,22.5,1
2024/10/21,10:44:8,23.9,69.0,23.6,72.0,24.0,24.0,22.5,1
2024/10/21,10:50:8,23.9,69.0,23.7,72.0,24.0,24.0,22.5,1
2024/10/21,10:56:8,24.0,70.0,23.8,72.0,24.0,24.0,22.5,1
2024/10/21,11:2:8,24.0,70.0,23.8,73.0,24.0,24.0,22.5,1
2024/10/21,11:8:8,24.0,70.0,23.8,73.0,24.0,24.0,22.5,1
2024/10/21,11:14:8,24.0,70.0,23.8,72.0,24.0,24.0,22.5,1
2024/10/21,11:20:8,24.0,70.0,23.8,73.0,24.0,24.0,22.5,1
2024/10/21,11:26:8,23.9,70.0,23.7,72.0,24.0,24.0,22.5,1
2024/10/21,11:32:8,23.9,69.0,23.8,72.0,24.0,24.0,22.5,1
2024/10/21,11:38:8,24.1,69.0,23.8,71.0,24.5,24.0,22.5,1
2024/10/21,11:44:8,24.1,69.0,23.8,71.0,24.5,24.0,22.5,1
2024/10/21,11:50:8,23.7,61.0,23.5,62.0,24.0,24.0,22.5,1
2024/10/21,11:56:8,23.5,62.0,23.4,64.0,24.0,24.0,22.5,0
2024/10/21,12:4:8,23.5,64.0,23.4,66.0,24.0,23.5,22.5,1
2024/10/21,12:9:7,23.5,64.0,23.4,66.0,24.0,23.5,22.5,0
2024/10/21,12:14:7,23.6,63.0,23.5,65.0,24.0,23.5,22.5,0
